course_id,course_name,category,difficulty_level,duration_hours,rating,tags
C141,Intermediate Cyber Security,Cyber Security,Intermediate,31,3.6,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C135,Basic Cyber Security,Cyber Security,Beginner,16,4.7,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C084,Getting Started with Applied ML,Machine Learning,Beginner,6,4.2,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C075,Professional Applied ML,Machine Learning,Advanced,84,4.1,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C036,Professional Data Science,Data Science,Advanced,81,4.5,"Data Visualization,NumPy,Pandas,Python"
C232,Intermediate User Experience Research,UI/UX Design,Intermediate,28,4.4,"Figma,Prototyping,UI Design,UX Design,User Research"
C269,Basic CI/CD Pipelines,DevOps,Beginner,12,4.7,"CI/CD,Docker,Kubernetes"
C014,Intermediate React,Web Development,Intermediate,48,4.1,"CSS,Express.js,HTML,JavaScript,MongoDB,Next.js,React,Vue"
C204,Intermediate iOS with Swift,Mobile Development,Intermediate,44,4.8,"Kotlin,React Native,Swift,iOS"
C256,Deep Dive into CI/CD Pipelines,DevOps,Advanced,57,4.7,"CI/CD,Jenkins,Linux,Terraform"
C044,Mastering Data Analysis with Python,Data Science,Intermediate,39,4.6,"Data Visualization,NumPy,Pandas,Python"
C041,Deep Dive into Data Analysis with Python,Data Science,Advanced,53,4.0,"NumPy,Pandas,Statistics"
C209,Advanced React Native,Mobile Development,Advanced,70,4.1,"Android,Flutter,React Native,Swift,iOS"
C290,Expert DSA,Data Structures & Algorithms,Advanced,84,4.5,"Algorithms,Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C157,Fundamentals of Cloud Computing with AWS,Cloud Computing,Beginner,8,4.3,"AWS,GCP,Serverless Computing"
C198,Professional iOS with Swift,Mobile Development,Advanced,99,4.4,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C205,Advanced Android Development,Mobile Development,Advanced,94,4.2,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C018,Introduction to Node.js,Web Development,Beginner,20,3.8,"Angular,Express.js,Frontend Development,HTML,JavaScript,MongoDB,Next.js"
C291,Deep Dive into Advanced Algorithms,Data Structures & Algorithms,Advanced,74,4.2,"Algorithms,Competitive Programming,Data Structures,Problem Solving,System Design"
C037,Advanced Data Analysis with Python,Data Science,Advanced,62,3.6,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C016,Professional Web Development,Web Development,Advanced,100,4.3,"Angular,Express.js,Frontend Development,HTML,MongoDB,Node.js"
C208,Basic iOS with Swift,Mobile Development,Beginner,6,3.7,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C183,Getting Started with React Native,Mobile Development,Beginner,10,3.5,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C250,Intermediate CI/CD Pipelines,DevOps,Intermediate,27,4.5,"Jenkins,Kubernetes,Linux"
C242,Advanced Topics in DevOps,DevOps,Intermediate,40,4.8,"CI/CD,Docker,Jenkins,Kubernetes,Terraform"
C023,Introduction to React,Web Development,Beginner,17,4.4,"Angular,MongoDB,Vue"
C155,Applied Azure Fundamentals,Cloud Computing,Intermediate,43,4.0,"AWS,Cloud Architecture,GCP,Serverless Computing"
C278,Basic Advanced Algorithms,Data Structures & Algorithms,Beginner,15,4.0,"Algorithms,Data Structures,Problem Solving,Python,System Design"
C101,Mastering AI,Artificial Intelligence,Intermediate,33,4.6,"Deep Learning,Generative AI,LLMs,Neural Networks,PyTorch,TensorFlow"
C272,Intermediate DSA,Data Structures & Algorithms,Intermediate,31,4.7,"Algorithms,Competitive Programming,Data Structures,Problem Solving,Python,System Design"
C024,Deep Dive into Web Development,Web Development,Advanced,73,3.5,"CSS,Express.js,Frontend Development,HTML,JavaScript,MongoDB,Node.js,React,Vue"
C121,Applied Cyber Security,Cyber Security,Intermediate,24,4.6,"Cryptography,Ethical Hacking,Networking,Penetration Testing,Security Fundamentals"
C185,Introduction to Android Development,Mobile Development,Beginner,5,3.7,"Android,Flutter,Kotlin,React Native,Swift,iOS"
C233,Introduction to Figma for Designers,UI/UX Design,Beginner,19,4.8,"Figma,Prototyping,UI Design,Wireframing"
C017,Deep Dive into Node.js,Web Development,Advanced,80,3.6,"Frontend Development,HTML,JavaScript,MongoDB,Node.js"
C259,Advanced Topics in CI/CD Pipelines,DevOps,Intermediate,22,3.6,"CI/CD,Docker,Jenkins,Kubernetes,Linux,Terraform"
C097,Introduction to AI,Artificial Intelligence,Beginner,9,4.9,"Deep Learning,Neural Networks,PyTorch,Python,TensorFlow"
C059,Getting Started with Data Visualization,Data Science,Beginner,6,4.2,"Data Visualization,NumPy,Pandas,Python"
C186,Deep Dive into Android Development,Mobile Development,Advanced,65,4.7,"Android,React Native,Swift,iOS"
C049,Basic Data Science,Data Science,Beginner,17,4.0,"Data Visualization,Matplotlib,NumPy,Pandas,Python,Statistics"
C217,Advanced Figma for Designers,UI/UX Design,Advanced,90,4.9,"Figma,Prototyping,UI Design,UX Design,User Research,Wireframing"
C273,Intermediate Advanced Algorithms,Data Structures & Algorithms,Intermediate,22,4.7,"Algorithms,Competitive Programming,Data Structures,System Design"
C245,Introduction to Docker & Kubernetes,DevOps,Beginner,18,4.9,"CI/CD,Docker,Jenkins,Kubernetes,Linux,Terraform"
C271,Advanced Advanced Algorithms,Data Structures & Algorithms,Advanced,72,4.9,"Algorithms,Competitive Programming,Data Structures"
C193,Fundamentals of Android Development,Mobile Development,Beginner,14,3.9,"Flutter,Kotlin,Swift"
C063,Intermediate Machine Learning,Machine Learning,Intermediate,23,3.8,"Data Preprocessing,Machine Learning,Scikit-Learn"
C006,Deep Dive into Full-Stack Development,Web Development,Advanced,79,4.0,"Angular,CSS,Next.js"
C074,Advanced Topics in Scikit-Learn,Machine Learning,Intermediate,31,3.7,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Scikit-Learn"
C181,Fundamentals of iOS with Swift,Mobile Development,Beginner,6,4.0,"Kotlin,React Native,Swift"
C283,Applied System Design Interviews,Data Structures & Algorithms,Intermediate,20,4.3,"Algorithms,Problem Solving,Python"
C249,Deep Dive into Docker & Kubernetes,DevOps,Advanced,50,3.8,"CI/CD,Docker,Jenkins,Kubernetes,Linux,Terraform"
C077,Basic Applied ML,Machine Learning,Beginner,5,4.1,"Data Preprocessing,Feature Engineering,Machine Learning,Model Evaluation,Python,Scikit-Learn"
C300,Fundamentals of System Design Interviews,Data Structures & Algorithms,Beginner,9,4.6,"Competitive Programming,Data Structures,Problem Solving"
C004,Advanced Web Development,Web Development,Advanced,99,4.0,"CSS,Frontend Development,HTML,JavaScript,MongoDB,React,Vue"
