num_keywords,has_link,message_length,all_caps_words,is_spam
6,0,131,14,1
3,0,152,7,1
7,1,491,7,1
4,1,115,8,1
6,0,384,8,1
9,1,437,1,1
2,1,314,14,1
6,1,369,1,1
7,1,468,2,1
4,1,326,0,1
3,0,460,3,1
7,1,132,13,1
7,0,399,3,1
2,1,18,13,1
5,0,271,8,1
4,1,82,8,1
1,0,368,8,1
7,1,232,9,1
5,0,425,6,1
1,1,50,13,1
4,0,379,14,1
0,1,213,1,0
9,0,273,9,1
5,0,337,4,1
8,1,187,3,1
0,1,357,11,1
9,0,327,10,1
2,1,93,7,1
6,0,327,1,1
3,0,120,5,1
8,0,260,12,1
2,1,392,4,1
4,0,16,14,1
2,0,468,11,1
6,1,93,1,1
4,1,217,10,1
8,1,397,9,1
6,1,399,14,1
1,0,323,0,0
3,0,31,7,1
8,0,419,1,1
1,0,392,6,1
9,1,12,8,1
8,0,136,8,1
9,0,306,7,1
4,1,197,10,1
1,0,371,13,1
3,0,23,11,1
6,0,468,9,1
7,0,475,8,1
2,0,21,1,0
0,0,96,5,0
3,1,21,3,1
1,1,406,13,1
7,0,34,3,1
3,0,310,4,1
1,1,252,11,1
5,0,131,2,1
5,0,156,13,1
9,0,64,0,1
3,1,247,7,1
5,0,365,4,1
1,1,182,2,0
9,0,401,9,1
1,1,230,13,1
9,1,128,6,1
3,0,318,6,1
7,1,192,0,1
6,0,297,11,1
8,1,316,8,1
7,0,309,14,1
4,0,91,1,1
1,1,463,4,1
4,0,411,12,1
7,0,220,13,1
9,1,159,4,1
8,0,46,13,1
8,0,361,7,1
0,1,321,13,1
8,1,370,7,1
6,0,68,13,1
8,0,140,6,1
7,1,421,6,1
0,1,211,11,1
7,0,252,10,1
7,1,44,5,1
2,0,454,5,1
0,0,102,10,1
7,0,447,8,1
2,0,456,5,1
2,0,216,11,1
0,1,362,12,1
4,1,400,12,1
9,1,341,1,1
6,1,314,1,1
9,0,359,12,1
8,0,222,4,1
6,0,168,14,1
8,0,451,3,1
7,1,454,10,1
1,0,33,1,0
0,0,413,14,1
6,1,302,14,1
6,1,13,2,1
7,1,229,6,1
4,1,373,7,1
2,0,391,11,1
7,0,29,12,1
5,1,453,5,1
2,0,161,10,1
0,0,59,4,0
2,0,186,12,1
4,1,444,0,1
2,0,105,7,1
0,1,114,2,0
4,0,429,14,1
9,0,259,5,1
6,0,126,2,1
6,1,363,6,1
8,0,237,12,1
9,1,75,13,1
9,1,344,6,1
2,1,427,11,1
6,0,429,14,1
0,0,271,8,1
3,0,304,4,1
3,0,435,14,1
4,1,252,7,1
6,1,380,9,1
6,1,195,9,1
3,0,255,7,1
6,1,134,0,1
2,0,277,11,1
5,1,140,4,1
1,0,246,2,0
9,0,27,0,1
8,1,49,3,1
4,1,30,7,1
5,1,408,2,1
3,1,234,9,1
9,0,364,1,1
6,1,291,10,1
8,1,17,8,1
6,1,109,9,1
0,0,249,4,0
0,0,487,13,1
8,1,96,6,1
8,0,307,10,1
3,1,437,10,1
8,0,23,1,1
2,0,343,8,1
6,0,11,12,1
5,0,384,8,1
7,1,302,3,1
8,1,334,3,1
4,1,431,5,1
0,0,50,9,1
2,1,327,9,1
9,1,325,9,1
7,1,390,5,1
5,0,120,11,1
7,0,23,0,1
8,0,240,13,1
3,1,482,13,1
0,1,93,8,1
0,1,139,1,0
9,0,240,4,1
3,0,335,8,1
6,1,154,3,1
1,0,388,10,1
2,0,354,2,0
0,0,37,14,1
4,0,75,6,1
0,1,172,5,1
7,0,238,7,1
0,0,270,2,0
0,0,458,4,1
1,0,433,9,1
1,1,469,3,1
5,1,449,14,1
6,0,173,12,1
4,0,310,3,1
0,0,416,3,0
0,0,312,9,1
2,0,296,7,1
1,0,404,5,0
4,1,19,2,1
9,0,204,9,1
5,1,127,4,1
6,1,279,5,1
3,0,89,4,1
6,1,467,5,1
7,1,102,7,1
0,1,275,6,1
5,1,341,4,1
7,1,359,9,1
4,1,370,5,1
3,0,266,13,1
1,1,142,3,1
5,1,285,11,1
5,1,273,8,1
0,0,180,12,1
8,1,469,3,1
5,0,10,0,1
2,1,322,6,1
3,0,73,6,1
3,0,383,3,1
2,1,477,12,1
9,1,293,13,1
2,0,130,2,0
2,1,116,7,1
3,0,430,4,1
6,0,184,9,1
3,0,494,6,1
8,0,213,3,1
0,0,174,3,0
7,1,314,7,1
6,0,129,13,1
1,0,53,7,1
7,1,321,1,1
0,0,165,13,1
8,1,376,1,1
8,1,216,2,1
1,1,399,14,1
6,0,117,11,1
9,0,260,11,1
2,0,454,2,0
6,1,413,0,1
9,0,379,14,1
8,1,343,13,1
3,0,139,2,1
0,1,466,5,1
1,0,302,7,0
0,0,29,12,1
4,0,291,11,1
4,1,294,13,1
6,1,10,9,1
8,0,128,5,1
8,0,44,4,1
2,1,207,14,1
2,1,494,3,1
2,1,254,2,1
3,0,68,12,1
7,1,334,3,1
5,0,170,13,1
7,1,188,6,1
0,0,215,0,0
7,1,21,6,1
3,1,499,0,1
0,1,285,1,0
7,1,190,14,1
3,1,251,3,1
5,0,225,0,1
7,1,260,10,1
3,1,308,11,1
2,1,135,10,1
8,0,491,14,1
2,1,226,10,1
8,0,315,8,1
1,1,294,11,1
1,1,194,5,1
1,0,48,12,1
5,1,232,0,1
2,0,193,0,0
8,0,436,5,1
3,1,187,3,1
0,0,416,3,0
3,1,437,14,1
0,1,303,10,1
4,0,349,14,1
3,0,160,5,1
7,0,393,14,1
7,0,135,13,1
6,1,310,11,1
2,1,317,10,1
0,0,345,6,0
0,1,443,8,1
2,1,243,9,1
5,1,389,4,1
6,1,384,8,1
5,0,17,3,1
5,0,350,12,1
5,1,138,9,1
2,0,273,1,1
5,0,166,2,1
7,0,361,12,1
1,1,367,10,1
4,1,14,0,1
0,1,95,13,1
0,0,184,13,1
4,1,299,5,1
2,1,202,12,1
3,0,320,5,1
2,1,128,0,1
0,1,227,10,1
0,0,436,12,1
4,0,467,2,1
5,0,423,4,1
2,1,123,2,1
8,1,475,9,1
4,1,154,2,1
7,0,35,13,1
0,0,145,9,1
4,1,312,2,1
2,1,241,4,1
0,0,378,12,1
3,0,85,4,1
4,0,484,3,1
6,0,337,0,1
0,1,354,4,0
2,0,311,9,1
1,1,461,4,1
8,1,298,3,1
9,1,10,5,1
5,0,156,9,1
9,0,296,3,1
2,0,473,13,1
7,0,151,6,1
7,1,62,6,1
1,0,313,1,0
5,0,78,2,1
6,1,370,0,1
1,0,99,7,1
9,1,455,8,1
1,1,229,3,1
9,1,459,5,1
0,1,201,8,1
7,1,463,5,1
0,1,72,13,1
8,1,82,11,1
5,1,170,11,1
6,0,178,11,1
9,0,98,8,1
6,0,185,14,1
9,0,278,3,1
2,1,82,7,1
1,0,254,8,1
8,1,86,3,1
7,0,168,4,1
9,0,498,13,1
6,0,468,7,1
8,1,333,11,1
3,0,107,9,1
3,1,390,13,1
0,1,111,5,1
7,0,141,11,1
2,0,111,6,1
6,0,28,2,1
1,1,463,6,1
1,0,491,11,1
6,1,91,13,1
5,1,406,7,1
2,0,498,9,1
8,0,288,5,1
9,1,348,14,1
5,1,374,9,1
9,1,340,8,1
9,0,138,12,1
5,1,353,5,1
0,0,319,11,1
3,1,464,8,1
9,1,98,12,1
5,0,222,3,1
5,1,152,7,1
4,0,74,10,1
0,0,85,3,0
7,1,208,1,1
4,0,152,9,1
4,0,414,10,1
6,1,412,8,1
3,0,325,4,1
5,0,102,3,1
3,0,482,1,1
2,1,426,0,0
6,0,314,10,1
7,1,233,6,1
3,1,300,5,1
1,0,437,14,1
9,0,111,14,1
2,0,483,1,0
0,1,276,7,1
7,0,364,10,1
2,0,465,3,1
9,0,119,7,1
6,0,471,14,1
9,0,339,6,1
4,1,459,4,1
9,1,439,9,1
4,0,274,9,1
6,0,12,11,1
8,0,94,7,1
4,0,291,13,1
0,1,337,8,1
9,0,313,4,1
9,1,459,9,1
0,1,463,4,1
1,0,421,1,0
5,1,126,4,1
8,1,230,2,1
7,1,163,6,1
4,1,162,9,1
0,0,21,4,1
6,0,142,7,1
4,1,491,0,1
5,0,313,2,1
6,0,302,2,1
2,0,472,8,1
9,0,309,4,1
2,0,237,11,1
4,1,280,8,1
5,0,52,12,1
8,0,441,8,1
4,0,352,0,1
0,0,335,1,0
3,1,311,4,1
4,1,373,3,1
9,1,388,14,1
9,1,436,9,1
4,0,30,8,1
6,1,416,6,1
3,0,116,5,1
0,0,345,6,0
4,0,312,0,1
6,0,126,0,1
9,0,133,7,1
9,1,408,12,1
5,1,290,12,1
4,1,301,1,1
3,1,212,11,1
1,0,60,9,1
3,1,280,10,1
9,0,333,8,1
